Übung,Rubrik,Seite,Körperpartie,Bildlink,Sound,Max Zeit,Mind Zeit,Beschreibung
Liegestütze,Übung,Nein,"Brust, Schulter, Arme",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Ausgangsposition:Beginne in der Plank-Position, wobei deine Hände schulterbreit auf dem Boden platziert sind. Deine Füße sind ebenfalls aufgestellt und bilden eine gerade Linie mit deinem Körper. 
2. Bewegung:Senke deinen Oberkörper langsam nach unten, indem du deine Arme beugst, bis deine Brust fast den Boden berührt. 
3. Drücken:Drücke dich dann wieder nach oben, indem du deine Arme ausstreckst, bis deine Arme wieder vollständig gestreckt sind. 
"
Crunches,Übung,Nein,Bauch,/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Ausgangsposition: Lege dich auf den Rücken mit angewinkelten Beinen und gestellten Füßen. 
2. Handposition: Deine Hände kannst du gekreuzt über die Brust legen oder hinter dem Kopf mit den Fingerspitzen die Ohren berühren. 
3. Bewegung: Hebe den Oberkörper minimal vom Boden ab und ziehe den Rumpf in Richtung deiner Beine. Die Schulterblätter sollten sich vom Boden lösen. 
"
Burpees,Übung,Nein,"Beine, Gesäß, Brust, Rücken, Schulter, Arme, Rumpf",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Kniebeuge: Aus dem Stand in die Hocke gehen und die Hände auf den Boden legen.
2. Plank: Die Hände auf dem Boden gestützt, in die Liegestützposition (Plank) springen.
3. Liegestütz: Bei Bedarf einen Liegestütz ausführen.
4. Sprung zurück: Mit den Füßen zurück in die Hocke springen.
5. Strecksprung: Aus der Hocke einen Strecksprung nach oben ausführen, dabei die Arme über oder hinter dem Kopf schlagen.
"
Hampelmänner,Übung,Nein,"Beine, Gesäß, Schulter",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,30,60,"1. Stellen Sie sich aufrecht mit geschlossenen Beinen und hängenden Armen hin.
2. Sprung hoch und spreize die Beine seitlich, bis sie schulterbreit auseinander sind.
3. Hebe gleichzeitig die Arme seitlich nach oben, bis sie über dem Kopf zusammen sind.
4. Sprung zurück in die Ausgangsposition mit geschlossenen Beinen und hängenden Armen.
"
Mountain Climbers,Übung,Nein,"Bauch, Beine, Hüftbeuger",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Gehe in die Liegestützposition (Plank) – Hände unter den Schultern, Körper in einer geraden Linie.
2. Beinbewegung: Ziehe abwechselnd ein Knie schnell zur Brust, dann direkt das andere.
3. Tempo: Wechsle die Beine in einem zügigen, laufähnlichen Rhythmus.
4. Körperhaltung: Halte den Rücken gerade, Bauch fest angespannt, kein Hohlkreuz."
High Knees,Übung,Nein,Beine,/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Auf der Stelle laufen
2. Knie hochziehen
3. Arme schwingen"
Plank to Push-Up,Übung,Nein,"Brust, Arme, Schulter, Bauch, Rücken, Gesäß",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Start: Beginne im Unterarmstütz (Plank) – Ellbogen unter den Schultern, Körper gerade.
2. Wechsel: Drücke dich zuerst mit einem Arm (Handfläche aufsetzen), dann mit dem anderen Arm in die normale Liegestützposition hoch.
3. Rückweg: Senke dich wieder ab – erst ein Unterarm, dann der andere – zurück in den Unterarmstütz.
"
Bear Crawl,Übung,Nein,"Schulter, Brust, Arme, Beine, Rücken",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Gehe in den Vierfüßlerstand – Hände unter Schultern, Knie unter Hüften.
2. Anheben: Hebe die Knie wenige Zentimeter vom Boden ab – Rücken bleibt gerade.
3. Bewegung: Krabble vorwärts (oder rückwärts/seitlich) – linke Hand & rechtes Bein, dann rechte Hand & linkes Bein – immer diagonal.
"
Jumping Squats,Übung,Nein,"Beine, Gesäß, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Ausgangsposition: Stehe schulterbreit, Füße leicht nach außen, Arme vor dem Körper.
2. Tiefgehen: Beuge die Knie und geh in eine tiefe Kniebeuge – Rücken gerade, Po nach hinten.
3. Sprung: Explosiv nach oben springen, Arme nach hinten schwingen.
4. Landung: Sanft auf den Fußballen landen und sofort in die nächste Kniebeuge übergehen.
"
Jumping Lunges,Übung,Nein,"Beine, Gesäß, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Gehe in den Ausfallschritt – ein Bein vorne, das andere hinten, beide Knie etwa 90° gebeugt.
2. Sprung: Explosiv nach oben springen.
3. Wechsel: In der Luft die Beine tauschen – lande direkt im nächsten Ausfallschritt.
"
Skater Jumps,Übung,Nein,"Beine, Gesäß, Bauch",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Stehe auf einem Bein, leicht in die Knie gebeugt, Oberkörper nach vorne geneigt.
2. Sprung: Spring seitlich auf das andere Bein – dynamisch, wie ein Eisschnellläufer.
3. Landung: Auf dem gegenüberliegenden Bein landen, das freie Bein schwingt leicht nach hinten.
4. Wechsel: Ohne Pause zur anderen Seite springen – fließende, kontrollierte Bewegung.
"
Inchworms,Übung,Nein,"Beine, Gesäß, Bauch, Arme, Schulter",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Stehe aufrecht, Füße hüftbreit.
2. Vorbeugen: Beuge dich nach vorne (Knie leicht beugen, falls nötig) und bringe die Hände auf den Boden.
3. Vorwärtslaufen: Wandere mit den Händen nach vorne bis du in der Plank-Position bist (Körper gerade).
4. Optional: Mache einen Liegestütz für mehr Intensität.
5. Zurücklaufen: Wandere mit den Händen wieder zurück zu den Füßen und richte dich auf.
"
Bicycle Crunches,Übung,Nein,Bauch,/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Lege dich auf den Rücken, Hände hinter den Kopf, Beine angewinkelt in der Luft.
2. Bewegung: Führe den rechten Ellenbogen zum linken Knie, während du das rechte Bein streckst.
3. Wechsel: Dann linken Ellenbogen zum rechten Knie – wie eine Fahrradbewegung.
4. Tempo: Kontrolliert, nicht zu schnell – Fokus auf Muskelspannung.
"
Leg Raises,Übung,Nein,Bauch,/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Lege dich flach auf den Rücken, Arme neben dem Körper oder unter dem Gesäß zur Stabilisierung.
2. Beine heben: Hebe beide gestreckten Beine langsam bis ca. 90° an – Füße zusammen, Bauch fest.
3. Absenken: Senke die Beine kontrolliert wieder ab, ohne sie ganz auf dem Boden abzulegen.
4. Wichtig: Kein Hohlkreuz! Halte den unteren Rücken fest am Boden – ggf. Hände unter das Becken legen.
"
Flutter Kicks,Übung,Nein,Bauch,/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Lege dich auf den Rücken, Hände unter das Gesäß oder seitlich, Beine gestreckt.
2. Beine anheben: Hebe beide Beine etwa 15–20 cm vom Boden ab.
3. Bewegung: Führe schnelle, kleine Auf- und Abbewegungen der gestreckten Beine aus – wie „Flattern“.
4. Core fest: Halte den unteren Rücken am Boden, Bauchmuskeln aktivieren.
"
Russian Twists,Übung,Nein,Bauch,/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Setze dich auf den Boden, lehne den Oberkörper leicht zurück, Beine angewinkelt und leicht angehoben (optional).
2. Core anspannen: Halte den Rücken gerade, Brust raus, Bauch fest.
3. Drehen: Drehe den Oberkörper kontrolliert nach rechts, dann nach links – Hände zusammen vor der Brust oder mit Gewicht (z. B. Medizinball).
4. Bewegung: Der Blick folgt den Händen, Füße möglichst ruhig halten.
"
Hollow Body Hold,Übung,Nein,Bauch,/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Lege dich auf den Rücken, strecke Arme über den Kopf und Beine gerade aus.
2. Anheben: Hebe gleichzeitig Arme, Schultern, Kopf und Beine einige Zentimeter vom Boden ab.
3. Position halten: Der Rücken bleibt flach auf dem Boden (kein Hohlkreuz!), Bauch fest angespannt.
4. Spannung halten: Wie eine ""Bananenform"" – je tiefer Arme & Beine, desto schwerer.
"
Toe Touches,Übung,Nein,Bauch,/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Lege dich auf den Rücken, Beine gestreckt und senkrecht nach oben, Füße zur Decke.
2. Arme heben: Strecke die Arme ebenfalls nach oben – Richtung Zehen.
3. Bewegung: Hebe Oberkörper und Schultern leicht vom Boden ab, und versuche mit den Fingerspitzen die Zehen zu berühren.
4. Zurück: Senke den Oberkörper langsam wieder ab – ohne ganz abzulegen.
"
Enge Liegestütze,Übung,Nein,"Brust, Schulter, Arme",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Gehe in die Liegestützposition – Hände eng nebeneinander unter der Brust, Ellenbogen dicht am Körper.
2. Körperhaltung: Körper bildet eine gerade Linie von Kopf bis Ferse, Core und Gesäß sind angespannt.
3. Bewegung: Senke dich langsam ab, Ellenbogen bleiben nah am Körper.
4. Tiefpunkt: Brust fast bis zum Boden – kein Durchhängen im Rücken.
"
Breite Liegestütze,Übung,Nein,"Brust, Schulter, Arme",/home/alen/OneDrive/Studium/6. Semester/C++ Fort/Projekt/Bilder,,20,45,"1. Startposition: Nimm die Liegestützposition ein – Hände deutlich weiter als schulterbreit auseinander, Füße hüftbreit.
2. Körperhaltung: Der Körper bleibt gerade, Bauch und Gesäß angespannt.
3. Bewegung: Senke den Oberkörper langsam ab, Ellenbogen zeigen leicht nach außen.
4. Tiefpunkt: Brust fast bis zum Boden, kein Hohlkreuz.
"
